C++ : pas d option etapes, il impose la marge avant apres chaque sortie (= mode "toutes")
manifeste         N | Rust 1er grp prv     av0/av1g/avT  boit sort    t | Rust toutes prv  boit sort    t | C++ (toutes) av.min    ph2  boit sort     t
exemple_groupes  16 |         5.04   F  0.72/0.53/-3.24 10.12   47  2.0 |        5.04   F 10.19   48  2.6 |         5.04   0.63 temps   9.50   46  10.4
exemple_tandems  16 |         5.70   F  0.53/0.68/-2.15  9.08   47  1.9 |        5.70   F  9.08   60  2.1 |         5.69   0.58 temps   9.34   50  10.5
2026-07-10-1     11 |         9.98   F  0.59/0.52/-1.61  5.29   62  2.3 |        9.98   F  3.55   67  2.5 |         9.98   0.65 temps   4.38   67  10.3
2026-07-10-2      6 |        15.59   T  0.73/4.59/0.73  5.29   64  1.8 |       15.59   T  2.85   64  1.9 |        15.59   0.55 optimu  2.19   62   7.4
2026-07-10-3     10 |        11.39   F  0.58/0.56/-0.18  6.64   61  2.1 |       11.39   F  4.70   70  2.5 |        11.38   0.73 temps   2.68   64  10.2
2026-07-10-4      7 |        15.99   F  0.75/4.67/0.75  3.14   75  2.2 |       15.99   F  5.16   78  2.2 |        15.98   0.73 temps   4.10   69  10.2
2026-07-10-5      9 |        14.02   F  0.72/1.18/-0.48  6.67   72  2.0 |       14.02   F  3.71   77  2.1 |        14.00   0.55 temps   4.45   73  10.2
2026-07-10-6      7 |        16.79   F  0.72/5.55/0.72  3.09   76  2.2 |       16.79   F  3.09   76  2.2 |        16.77   0.67 temps   3.64   69  10.2
2026-07-20-15    20 |         4.05   T  1.91/4.47/0.83 12.44  107  1.9 |        4.05   T 12.44  107  2.1 |         4.05   0.70 optimu 12.44  107   4.3
2026-07-22-7     20 |         3.71   T  2.15/3.43/1.69 17.69   97  1.9 |        3.71   T 17.69   97  2.4 |         3.72   1.69 optimu 17.69   97   6.0
2026-07-22-8     20 |         4.07   T  1.40/3.91/0.28 14.78   88  1.8 |        4.07   T 15.03   89  2.2 |         4.07   0.61 optimu 15.03   89   3.2
2026-07-23-5     20 |         4.31   T  1.25/0.50/-1.20 13.26   85  2.0 |        4.31   T 12.05   98  2.1 |         4.31   0.52 temps  12.37   98  10.1
2026-07-23-6     20 |         3.85   T  1.76/0.51/-1.86 12.90   66  2.0 |        3.78   T 12.73   89  2.6 |         3.78   0.50 temps  12.73   89  10.8
2026-07-23-8     20 |         4.27   T  1.61/1.85/1.61 12.81  135  1.9 |        4.27   T 12.81  135  2.1 |         4.27   1.60 optimu 12.81  135   7.4
