manifeste           N ord | marge max py      rs prouve |  cout py      rs |  boites py/rs  sortie py/rs |  t py  t rs
exemple_groupes    16   F |         2.76    2.77      F |    42.71   40.33 |  8.35 /  7.66  26.0 /  25.0 |  11.3   2.6
exemple_groupes    16   T |         2.77    2.77      F |    54.31   49.29 |  6.65 /  5.64  41.0 /  38.0 |  11.0   3.2
exemple_tandems    16   F |         3.10    3.10      F |    40.38   39.49 |  5.19 /  4.24  30.0 /  31.0 |  10.7   2.3
exemple_tandems    16   T |         3.07    3.10      F |    44.01   40.15 |  5.00 /  5.58  34.0 /  29.0 |  11.1   2.4
2026-07-10-1       11   F |         5.24    5.24      F |    27.11   25.59 |  3.55 /  2.80  20.0 /  20.0 |  10.5   2.7
2026-07-10-1       11   T |         4.83    4.85      F |    27.11   27.11 |  3.55 /  3.55  20.0 /  20.0 |  12.4   3.1
2026-07-10-2        6   F |         8.03    8.04      T |     8.82    8.82 |  2.41 /  2.41   4.0 /   4.0 |   2.2   1.8
2026-07-10-2        6   T |         6.81    6.81      T |    11.08   11.08 |  2.04 /  2.04   7.0 /   7.0 |   1.6   1.7
2026-07-10-3       10   F |         5.92    5.94      F |    24.47   24.47 |  3.23 /  3.23  18.0 /  18.0 |  10.5   2.4
2026-07-10-3       10   T |         5.28    5.28      T |    24.47   24.47 |  3.23 /  3.23  18.0 /  18.0 |  12.7   2.9
2026-07-10-4        7   F |         8.24    8.24      F |    15.84   15.84 |  3.42 /  3.42   9.0 /   9.0 |  10.3   2.2
2026-07-10-4        7   T |         7.10    7.10      T |    17.10   17.10 |  3.05 /  3.05  11.0 /  11.0 |   5.6   1.7
2026-07-10-5        9   F |         7.23    7.26      F |    23.47   23.47 |  3.23 /  3.23  17.0 /  17.0 |  10.4   2.2
2026-07-10-5        9   T |         6.31    6.34      T |    23.47   23.47 |  3.23 /  3.23  17.0 /  17.0 |  11.7   1.7
2026-07-10-6        7   F |         8.63    8.64      F |    15.84   15.84 |  3.42 /  3.42   9.0 /   9.0 |   8.8   2.3
2026-07-10-6        7   T |         7.57    7.57      T |    18.23   18.23 |  3.12 /  3.12  12.0 /  12.0 |   7.5   1.7
HighsMipSolverData::transformNewIntegerFeasibleSolution tmpSolver.run();
