fichier,immat,stick,date,tirage,n,groupes,tandems,fuel_lbs,pilote_kg,paras_kg,masse_lbs,statut,sequence,mu_max,mu_max_largage,cg_in,mac,marge_dec,marge_largage,optimal,gap,boites,ecart_sortie,temps,warn
2026-07-03-1.pdf,PC6-A,1,2026-07-03 10:12,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-1.pdf,PC6-A,1,2026-07-03 10:12,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-1.pdf,PC6-A,1,2026-07-03 10:12,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-2.pdf,PC6-A,2,2026-07-03 10:35,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-2.pdf,PC6-A,2,2026-07-03 10:35,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-2.pdf,PC6-A,2,2026-07-03 10:35,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-3.pdf,PC6-A,3,2026-07-03 11:27,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-3.pdf,PC6-A,3,2026-07-03 11:27,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-3.pdf,PC6-A,3,2026-07-03 11:27,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-4.pdf,PC6-A,4,2026-07-03 11:47,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-4.pdf,PC6-A,4,2026-07-03 11:47,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-4.pdf,PC6-A,4,2026-07-03 11:47,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-5.pdf,PC6-A,5,2026-07-03 14:39,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-5.pdf,PC6-A,5,2026-07-03 14:39,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-5.pdf,PC6-A,5,2026-07-03 14:39,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-6.pdf,PC6-A,6,2026-07-03 15:01,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-6.pdf,PC6-A,6,2026-07-03 15:01,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-6.pdf,PC6-A,6,2026-07-03 15:01,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-7.pdf,PC6-A,7,2026-07-03 16:16,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-7.pdf,PC6-A,7,2026-07-03 16:16,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-7.pdf,PC6-A,7,2026-07-03 16:16,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-8.pdf,PC6-A,8,2026-07-03 17:15,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-8.pdf,PC6-A,8,2026-07-03 17:15,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-03-8.pdf,PC6-A,8,2026-07-03 17:15,,,,,,,,,ignore (avion non Caravan),,,,,,,,,,,,,
2026-07-04-1.pdf,C208B-B,1,2026-07-04 08:38,,,,,,,,,ignore (carburant_absent),,,,,,,,,,,,,carburant_absent
2026-07-04-1.pdf,C208B-B,1,2026-07-04 08:38,,,,,,,,,ignore (carburant_absent),,,,,,,,,,,,,carburant_absent
2026-07-04-1.pdf,C208B-B,1,2026-07-04 08:38,,,,,,,,,ignore (carburant_absent),,,,,,,,,,,,,carburant_absent
2026-07-04-10.pdf,C208B-B,10,2026-07-04 11:58,0,11,3,0,575.6,88.0,908.0,7757.81047522388,ok,True,6.1525732452107205,6.1525732452107205,203.80140274525894,39.50512461635383,0.548597254741054,2.4724684626351916,False,0.11119330912568232,2.475999999999999,12.0,10.342966318130493,
2026-07-04-10.pdf,C208B-B,10,2026-07-04 11:58,1,11,3,0,575.6,88.0,908.0,7757.81047522388,ok,True,6.153938026775108,6.153938026775108,203.73725616856012,39.40851832614477,0.6127438314398717,2.4110025359644567,False,0.1575334660774577,2.475999999999999,14.0,10.61016845703125,
2026-07-04-10.pdf,C208B-B,10,2026-07-04 11:58,2,11,3,0,575.6,88.0,908.0,7757.81047522388,ok,True,6.148414260687267,6.148414260687267,203.84215094198828,39.56649238251247,0.5078490580117148,2.7345553073365068,False,0.1553286955291043,2.1053333333333333,17.0,10.481202602386475,
2026-07-04-11.pdf,C208B-B,11,2026-07-04 14:40,0,17,5,0,1149.5,88.0,1348.0,9301.49103641791,ECHEC MTOW : masse au decollage 9302 lbs > MTOW 9062 (depassement 109 kg),,,,,,,,,,,,0.0008499622344970703,
2026-07-04-11.pdf,C208B-B,11,2026-07-04 14:40,1,17,5,0,1149.5,88.0,1348.0,9301.49103641791,ECHEC MTOW : masse au decollage 9302 lbs > MTOW 9062 (depassement 109 kg),,,,,,,,,,,,0.0008749961853027344,
2026-07-04-11.pdf,C208B-B,11,2026-07-04 14:40,2,17,5,0,1149.5,88.0,1348.0,9301.49103641791,ECHEC MTOW : masse au decollage 9301 lbs > MTOW 9062 (depassement 109 kg),,,,,,,,,,,,0.0043299198150634766,
2026-07-04-12.pdf,C208B-B,12,2026-07-04 15:05,0,16,5,0,1045.9,88.0,1373.0,9253.239372238806,ECHEC MTOW : masse au decollage 9253 lbs > MTOW 9062 (depassement 87 kg),,,,,,,,,,,,0.0005064010620117188,
