fichier,n,ok,marge_max,prouvee,marge,cout,boites,sortie,temps,temps_phase1
2026-07-04-10,11,True,6.157,False,0.6195,23.2107,2.1053,19,2.5216782093048096,0.8558
2026-07-04-16,15,True,4.2634,False,0.7893,23.6573,4.3287,15,2.40539813041687,0.77
2026-07-04-17,15,True,4.0895,False,1.0864,31.172,6.586,18,2.4379827976226807,0.7425
2026-07-04-18,15,True,3.0187,False,0.518,34.172,6.586,21,2.535629987716675,0.8432
2026-07-04-19,13,True,4.3018,False,0.521,31.0387,5.0193,21,2.45951771736145,0.7496
2026-07-04-5,14,True,3.7784,False,0.5115,24.8933,4.4467,16,2.47147536277771,0.8309
2026-07-04-6,15,True,3.5026,False,0.5553,27.78,5.39,17,2.494899034500122,0.8182
2026-07-04-7,15,True,3.2193,False,0.6053,30.6453,5.3227,20,2.3790335655212402,0.7696
2026-07-04-8,15,True,4.1976,False,1.1354,20.388,4.194,12,2.4723775386810303,0.7864
2026-07-05-1,16,True,3.0377,False,0.5366,31.1947,6.0973,19,2.402496814727783,0.7985
2026-07-05-10,16,True,3.0464,False,0.5212,38.5653,6.2827,26,2.7354907989501953,0.9998
2026-07-05-11,9,True,6.7474,False,0.6985,18.8493,3.9247,11,2.1292378902435303,0.6096
2026-07-05-2,15,True,3.9783,False,0.5761,22.4787,3.7393,15,2.4166829586029053,0.8149
2026-07-05-3,17,True,3.1453,False,0.5056,29.996,2.998,24,2.629152297973633,1.0004
2026-07-05-4,10,True,6.8254,False,0.5459,20.5813,2.2907,16,2.3076999187469482,0.7759
2026-07-05-5,18,True,3.277,False,0.5274,47.0493,5.5247,36,3.120913505554199,1.3039
2026-07-05-6,15,True,5,False,0.5217,25.7373,3.3687,19,2.6024057865142822,0.9647
2026-07-10-1,11,True,5.24,False,0.5895,25.592,2.796,20,2.842282772064209,1.1467
2026-07-10-2,6,True,8.0436,True,0.9109,8.8173,2.4087,4,1.8915438652038574,0.3599
2026-07-10-3,10,True,5.9428,False,0.6651,24.468,3.234,18,2.465610980987549,0.8993
2026-07-10-4,7,True,8.2435,False,0.7344,15.8387,3.4193,9,2.0365288257598877,0.4308
2026-07-10-5,9,True,7.2598,False,0.7641,23.468,3.234,17,2.1414878368377686,0.6103
2026-07-10-6,7,True,8.6433,False,0.5019,15.8387,3.4193,9,2.1980624198913574,0.6653
2026-07-11-1,13,True,4.61,False,0.6142,32.8827,3.9413,25,2.3994574546813965,0.6978
2026-07-11-10,15,True,4.6899,False,0.5079,39.1947,6.0973,27,2.2882091999053955,0.7803
2026-07-11-11,14,True,5.4214,False,0.5949,37.028,4.514,28,2.202371835708618,0.6874
2026-07-11-12,17,True,4.4441,False,0.5226,40.7,6.35,28,2.5980138778686523,1.0157
2026-07-11-2,16,True,3.1238,False,0.5405,37.1947,6.0973,25,2.0859389305114746,0.5712
2026-07-11-3,16,True,3.0462,False,0.6219,32.4307,6.2153,20,2.4954493045806885,0.7646
2026-07-11-4,10,True,6.5193,False,0.5048,28.984,3.992,21,2.6397128105163574,1.1121
2026-07-11-5,18,True,2.9571,False,0.6903,51.236,9.618,32,2.471853017807007,0.7609
2026-07-11-6,18,True,2.8784,False,0.5612,43.484,8.742,26,2.948126792907715,1.0864
2026-07-11-8,17,True,2.9959,False,0.5077,38.328,7.664,23,2.1897177696228027,0.5433
2026-07-11-9,14,True,4.9784,False,0.6567,35.2853,5.6427,24,2.0472257137298584,0.5403
2026-07-12-1,17,True,3.2421,False,0.5002,37.216,7.108,23,2.0398056507110596,0.5018
2026-07-12-2,10,True,7.0714,False,0.5516,28.3667,3.1833,22,2.4288694858551025,0.7515
2026-07-14-1,15,True,2.7151,False,0.5348,33.3773,3.6887,26,2.4141757488250732,0.8429
2026-07-14-10,17,True,3.0846,False,0.6126,31.1627,4.5813,22,2.4036693572998047,0.6419
2026-07-14-11,17,True,3.1768,False,0.5332,37.9787,8.4893,21,2.2653722763061523,0.5637
2026-07-14-12,17,True,3.4286,False,0.5175,27.8933,4.4467,19,2.234145164489746,0.5434
2026-07-14-13,11,True,7.0845,False,0.7512,29.5,4.75,20,1.9914264678955078,0.4411
2026-07-14-14,13,True,5.6237,False,0.6264,26.2533,4.1267,18,2.401066303253174,0.7107
2026-07-14-15,16,True,4.2202,False,0.5216,34.3613,7.6807,19,2.499335289001465,0.9031
2026-07-14-16,12,True,6.5704,False,0.5244,33.7693,4.8847,24,2.415393114089966,0.8122
2026-07-14-2,11,True,4.9972,False,0.5784,29.2427,3.6213,22,2.07045841217041,0.4839
2026-07-14-3,15,True,3.3922,False,0.5235,29.8933,4.4467,21,2.2131340503692627,0.5675
2026-07-14-4,14,True,4.1244,False,0.605,32.388,4.194,24,2.399982213973999,0.7942
2026-07-14-5,17,True,2.9785,False,0.6505,30.904,4.952,21,2.4570746421813965,0.9228
2026-07-14-6,18,True,2.6959,False,0.5318,42.4733,8.2367,26,2.2989871501922607,0.7259
2026-07-14-7,16,True,3.8307,False,0.5008,30.6453,5.3227,20,2.1074352264404297,0.4247
2026-07-14-8,18,True,2.9416,False,0.5363,40.6787,5.3393,30,2.3474035263061523,0.5365
2026-07-14-9,15,True,4.3756,False,0.5447,34.232,3.116,28,2.174919843673706,0.5368
2026-07-15-1,14,True,4.3665,False,0.5228,24.8933,4.4467,16,2.4251210689544678,0.8819
2026-07-15-2,9,True,7.4353,False,1.185,10.8067,1.9033,7,2.151918411254883,0.6303
2026-07-15-3,14,True,5.0119,False,0.6018,24.6133,3.8067,17,2.3445188999176025,0.8244
2026-07-15-4,9,True,7.7699,False,0.7226,14.188,2.594,9,2.3769989013671875,0.7291
2026-07-15-5,14,True,5.5777,False,0.6446,16.8067,1.9033,13,2.672593116760254,1.0886
2026-07-15-6,12,True,5.4002,False,0.8191,23.7373,3.3687,17,2.14640736579895,0.5714
2026-07-15-7,16,True,4.0948,False,0.5456,18.704,3.352,12,2.0638129711151123,0.478
2026-07-15-8,13,True,5.1373,False,0.5907,23.5813,2.2907,19,2.0818798542022705,0.4757
2026-07-15-9,12,True,5.9662,False,0.5581,26.4573,2.7287,21,2.1096320152282715,0.5623
2026-07-16-2,14,True,3.7919,False,0.5874,29.232,3.116,23,2.0500638484954834,0.546
2026-07-16-3,6,True,7.1554,True,2.667,5.796,1.398,3,1.5888690948486328,0.0421
2026-07-16-4,14,True,4.3434,False,0.6308,16.8067,1.9033,13,2.401888847351074,0.8194
2026-07-17-1,11,True,6.4224,False,0.5873,31.4893,4.2447,23,2.353301763534546,0.7789
2026-07-18-12,17,True,3.0095,False,0.5524,31.4413,6.7207,18,2.675727128982544,0.7567
2026-07-18-13,18,True,2.6591,False,0.5593,51.3227,12.1613,27,2.6170573234558105,0.8655
2026-07-18-14,15,True,4.4069,False,0.6221,30.172,6.586,17,2.390131711959839,0.7416
2026-07-18-15,16,True,2.9934,False,0.5155,38.1133,8.5567,21,2.5998971462249756,0.7351
2026-07-18-16,16,True,3.9311,False,0.5037,31.8933,4.4467,23,2.4718008041381836,0.7202
2026-07-18-17,9,True,7.4085,False,0.5287,22.4573,2.7287,17,2.100391387939453,0.5935
2026-07-18-3,17,True,2.6829,False,0.5935,37.8813,5.4407,27,2.399991273880005,0.7658
2026-07-18-6,17,True,2.7662,False,0.5036,41.7693,4.8847,32,2.50935435295105,0.8309
2026-07-18-7,19,True,3.3295,False,0.5018,45.4187,7.2093,31,2.670846462249756,1.0801
2026-07-18-9,15,True,2.7329,False,0.5078,33.9893,8.9947,16,2.420091152191162,0.7861
2026-07-19-10,16,True,3.0628,False,0.5179,31.532,6.266,19,2.2096238136291504,0.6459
2026-07-19-12,15,True,4.125,False,0.51,27.904,4.952,18,2.32692813873291,0.7059
2026-07-19-14,11,True,5.8884,False,0.5008,30.4787,3.7393,23,2.3782620429992676,0.7828
2026-07-19-3,15,True,2.9137,False,0.5246,35.2853,5.6427,24,2.256903648376465,0.5727
2026-07-19-4,15,True,3.7763,False,0.5001,32.2853,5.6427,21,2.1494195461273193,0.6124
2026-07-19-5,17,True,2.6003,False,0.5279,41.484,8.742,24,2.1592013835906982,0.5081
2026-07-19-6,17,True,2.8529,False,0.569,37.484,8.742,20,2.368133306503296,0.8084
2026-07-19-7,18,True,2.6785,False,0.6704,61.36,9.18,43,2.6723110675811768,0.8959
2026-07-19-8,15,True,2.961,False,0.5432,31.8613,2.9307,26,2.5606343746185303,0.8906
2026-07-20-10,19,True,2.9798,False,0.5796,43.0707,6.5353,30,2.8418445587158203,1.1337
2026-07-20-11,10,True,8.0991,False,0.5241,26.4787,3.7393,19,2.3538851737976074,0.7514
2026-07-20-12,15,True,3.4048,False,0.6581,28.8933,4.4467,20,2.7373905181884766,0.8533
2026-07-20-15,20,True,2.8566,False,0.567,50.34,4.67,41,3.1260218620300293,1.5844
2026-07-20-2,16,True,3.0884,False,0.5046,34.3173,7.1587,20,2.407399892807007,0.8439
2026-07-20-3,13,True,5.0147,False,0.7297,26.7373,3.3687,20,2.455611228942871,0.7257
